,YEAR,AGELOW,AGEHIGH,POPPROJ
0,2015,0,5,20382033.3974
1,2015,5,15,41010370.7698
2,2015,15,25,43597323.9829
3,2015,25,34,39725326.7451
4,2015,34,45,45308500.8668
5,2015,45,55,42701582.0883
6,2015,55,65,40632516.2715
7,2015,65,75,28200402.7363
8,2015,75,90,19175068.4774
9,2016,0,5,20899286.16
10,2016,5,15,40776283.6553
11,2016,15,25,43328175.4735
12,2016,25,34,39825493.54
13,2016,34,45,45427062.4611
14,2016,45,55,42290131.4551
15,2016,55,65,40912351.4668
16,2016,65,75,29063799.4394
17,2016,75,90,18505112.0724
18,2017,0,5,21366623.5259
19,2017,5,15,40563610.5485
20,2017,15,25,43047881.7353
21,2017,25,34,39871445.6125
22,2017,34,45,45614505.1376
23,2017,45,55,41872085.339
24,2017,55,65,41090043.0365
25,2017,65,75,29912717.9828
26,2017,75,90,18171970.7681
27,2018,0,5,21744899.0612
28,2018,5,15,40412274.0453
29,2018,15,25,42760706.4409
30,2018,25,34,39865050.4173
31,2018,34,45,45856616.1412
32,2018,45,55,41462518.0414
33,2018,55,65,41170970.7192
34,2018,65,75,30731904.5911
35,2018,75,90,18089690.4033
36,2019,0,5,21946182.1175
37,2019,5,15,40413518.1711
38,2019,15,25,42470479.214
39,2019,25,34,39810374.8656
40,2019,34,45,46136108.7921
41,2019,45,55,41077291.3022
42,2019,55,65,41162180.8446
43,2019,65,75,31506833.6748
44,2019,75,90,18196447.1489
45,2020,0,5,21943639.5508
46,2020,5,15,40603490.8002
47,2020,15,25,42180640.1224
48,2020,25,34,39712721.2617
49,2020,34,45,46434337.022
50,2020,45,55,40732058.6901
51,2020,55,65,41071978.4691
52,2020,65,75,32224308.6682
53,2020,75,90,18446838.1766
54,2021,0,5,21819693.1429
55,2021,5,15,40916309.9012
56,2021,15,25,41894316.9768
57,2021,25,34,39577781.5732
58,2021,34,45,46733242.6037
59,2021,45,55,40440752.1552
60,2021,55,65,40909538.2567
61,2021,65,75,32873164.0264
62,2021,75,90,18806619.2918
63,2022,0,5,21675558.7079
64,2022,5,15,41267937.1158
65,2022,15,25,41614390.5387
66,2022,25,34,39411182.2389
67,2022,34,45,47016701.8313
68,2022,45,55,40214342.3551
69,2022,55,65,40684664.1395
70,2022,65,75,33444733.5588
71,2022,75,90,19249114.2733
72,2023,0,5,21573451.4044
73,2023,5,15,41611191.5767
74,2023,15,25,41343585.9581
75,2023,25,34,39218302.2114
76,2023,34,45,47271154.1664
77,2023,45,55,40060204.4108
78,2023,55,65,40407721.2031
79,2023,65,75,33932986.4905
80,2023,75,90,19752767.9705
81,2024,0,5,21530200.645
82,2024,5,15,41931574.3919
83,2024,15,25,41085032.7983
84,2024,25,34,39004237.2292
85,2024,34,45,47485894.3373
86,2024,45,55,39982044.1039
87,2024,55,65,40089173.7193
88,2024,65,75,34332876.2711
89,2024,75,90,20298534.699
90,2025,0,5,21533598.6576
91,2025,5,15,42229361.077
92,2025,15,25,40844170.5083
93,2025,25,34,38773504.973
94,2025,34,45,47652348.6377
95,2025,45,55,39978339.5146
96,2025,55,65,39744437.0014
97,2025,65,75,34655348.2809
98,2025,75,90,20877354.2476
99,2026,0,5,21538447.8631
100,2026,5,15,42505051.7082
101,2026,15,25,40633901.3576
102,2026,25,34,38530074.317
103,2026,34,45,47765069.2588
104,2026,45,55,40044821.2613
105,2026,55,65,39388245.312
106,2026,65,75,34908432.8323
107,2026,75,90,21481956.0028
108,2027,0,5,21542456.0428
109,2027,5,15,42749523.7038
110,2027,15,25,40478118.4298
111,2027,25,34,38278198.7034
112,2027,34,45,47822323.5576
113,2027,45,55,40174080.2793
114,2027,55,65,39032860.9694
115,2027,65,75,35094216.3798
116,2027,75,90,22100413.4985
117,2028,0,5,21549802.8713
118,2028,5,15,42943525.4512
119,2028,15,25,40406961.9752
120,2028,25,34,38021691.3544
121,2028,34,45,47825139.33
122,2028,45,55,40355782.242
123,2028,55,65,38690573.0984
124,2028,65,75,35218675.4262
125,2028,75,90,22729442.0338
126,2029,0,5,21554372.6998
127,2029,5,15,43066478.9114
128,2029,15,25,40442591.983
129,2029,25,34,37763831.4842
130,2029,34,45,47776444.7233
131,2029,45,55,40577126.5671
132,2029,55,65,38374572.9262
133,2029,65,75,35287360.5905
134,2029,75,90,23364284.1057
135,2030,0,5,21572024.674
136,2030,5,15,43109864.5562
137,2030,15,25,40585747.0812
138,2030,25,34,37507323.273
139,2030,34,45,47679839.8016
140,2030,45,55,40822911.977
141,2030,55,65,38095259.6583
142,2030,65,75,35301911.1924
143,2030,75,90,23987441.7545
144,2031,0,5,21607899.2608
145,2031,5,15,43088325.5944
146,2031,15,25,40815185.566
147,2031,25,34,37255091.1164
148,2031,34,45,47540439.5872
149,2031,45,55,41078692.0075
150,2031,55,65,37863129.1224
151,2031,65,75,35268202.7276
152,2031,75,90,24595141.9539
153,2032,0,5,21608891.2228
154,2032,5,15,43034270.0331
155,2032,15,25,41098600.1704
156,2032,25,34,37010612.856
157,2032,34,45,47364127.3923
158,2032,45,55,41330642.1644
159,2032,55,65,37686345.3057
160,2032,65,75,35189693.6664
161,2032,75,90,25175694.632
162,2033,0,5,21514310.9292
163,2033,5,15,42980567.8951
164,2033,15,25,41405083.8561
165,2033,25,34,36777903.8983
166,2033,34,45,47156383.8556
167,2033,45,55,41565643.2091
168,2033,55,65,37569727.4637
169,2033,65,75,35069867.8189
170,2033,75,90,25716773.0891
171,2034,0,5,21296812.1621
172,2034,5,15,42949112.5356
173,2034,15,25,41711696.0531
174,2034,25,34,36562841.9019
175,2034,34,45,46922555.3679
176,2034,45,55,41773273.0907
177,2034,55,65,37516494.8888
178,2034,65,75,34917092.7477
179,2034,75,90,26220322.6664
180,2035,0,5,20965272.4858
181,2035,5,15,42944180.8667
182,2035,15,25,42002898.4338
183,2035,25,34,36375023.2224
184,2035,34,45,46668129.3441
185,2035,45,55,41945720.0059
186,2035,55,65,37526198.5164
187,2035,65,75,34736902.2595
188,2035,75,90,26672432.8479
189,2036,0,5,20564346.7191
190,2036,5,15,42945403.1321
191,2036,15,25,42266636.6749
192,2036,25,34,36228416.1502
193,2036,34,45,46397232.0104
194,2036,45,55,42076366.9183
195,2036,55,65,37594734.8716
196,2036,65,75,34538326.2477
197,2036,75,90,27068759.5205
198,2037,0,5,20152138.0698
199,2037,5,15,42913187.9662
200,2037,15,25,42491292.139
201,2037,25,34,36140056.2403
202,2037,34,45,46114032.6147
203,2037,45,55,42161688.3515
204,2037,55,65,37714816.3338
205,2037,65,75,34331430.3014
206,2037,75,90,27409875.99
207,2038,0,5,19777131.5301
208,2038,5,15,42808237.0247
209,2038,15,25,42665638.5049
210,2038,25,34,36125268.4113
211,2038,34,45,45822363.7869
212,2038,45,55,42200147.7475
213,2038,55,65,37876873.6219
214,2038,65,75,34123217.464
215,2038,75,90,27693641.7011
216,2039,0,5,19467382.1898
217,2039,5,15,42609314.0204
218,2039,15,25,42782211.5994
219,2039,25,34,36191728.852
220,2039,34,45,45525711.1796
221,2039,45,55,42192174.4956
222,2039,55,65,38069710.73
223,2039,65,75,33921748.6561
224,2039,75,90,27917445.342
225,2040,0,5,19241257.5652
226,2040,5,15,42317233.3131
227,2040,15,25,42842235.0549
228,2040,25,34,36336753.5067
229,2040,34,45,45228618.946
230,2040,45,55,42139706.093
231,2040,55,65,38282430.3596
232,2040,65,75,33735479.4927
233,2040,75,90,28075087.8205
234,2041,0,5,19101943.0511
235,2041,5,15,41946796.8427
236,2041,15,25,42857372.0793
237,2041,25,34,36548110.4811
238,2041,34,45,44937441.3217
239,2041,45,55,42046173.6283
240,2041,55,65,38504328.3855
241,2041,65,75,33577523.4294
242,2041,75,90,28179450.2087
243,2042,0,5,19028501.2401
244,2042,5,15,41515541.4264
245,2042,15,25,42844724.6279
246,2042,25,34,36804356.6017
247,2042,34,45,44658331.3007
248,2042,45,55,41915763.0222
249,2042,55,65,38723328.2837
250,2042,65,75,33455840.0604
251,2042,75,90,28233381.2897
252,2043,0,5,19005467.1454
253,2043,5,15,41039648.5187
254,2043,15,25,42821472.0818
255,2043,25,34,37081257.9898
256,2043,34,45,44399674.7302
257,2043,45,55,41753075.0509
258,2043,55,65,38928528.6115
259,2043,65,75,33376398.277
260,2043,75,90,28241665.5391
261,2044,0,5,19017180.81
262,2044,5,15,40538065.8216
263,2044,15,25,42797708.7462
264,2044,25,34,37355572.5536
265,2044,34,45,44172381.023
266,2044,45,55,41562891.9699
267,2044,55,65,39110515.2496
268,2044,65,75,33342739.2925
269,2044,75,90,28210011.1279
270,2045,0,5,19048138.8166
271,2045,5,15,40035169.6027
272,2045,15,25,42771656.1958
273,2045,25,34,37607497.1148
274,2045,34,45,43989314.0832
275,2045,45,55,41350003.1919
276,2045,55,65,39261704.1288
277,2045,65,75,33355817.5104
278,2045,75,90,28144869.1903
279,2046,0,5,19087197.3537
280,2046,5,15,39557231.1571
281,2046,15,25,42729557.3428
282,2046,25,34,37821992.0204
283,2046,34,45,43863421.1825
284,2046,45,55,41119081.772
285,2046,55,65,39376536.7158
286,2046,65,75,33413915.2869
287,2046,75,90,28053343.2832
288,2047,0,5,19128175.4935
289,2047,5,15,39128842.767
290,2047,15,25,42650621.1556
291,2047,25,34,37989650.3181
292,2047,34,45,43804939.4692
293,2047,45,55,40874611.4861
294,2047,55,65,39451514.9054
295,2047,65,75,33512735.7268
296,2047,75,90,27943121.6678
297,2048,0,5,19167546.7178
298,2048,5,15,38769738.6778
299,2048,15,25,42514626.9659
300,2048,25,34,38107336.4367
301,2048,34,45,43818688.761
302,2048,45,55,40620878.8958
303,2048,55,65,39485086.4205
304,2048,65,75,33645728.6253
305,2048,75,90,27822323.2207
306,2049,0,5,19202761.6936
307,2049,5,15,38491439.299
308,2049,15,25,42308384.1495
309,2049,25,34,38178251.1031
310,2049,34,45,43902580.5817
311,2049,45,55,40362050.3618
312,2049,55,65,39477416.7645
313,2049,65,75,33804611.4646
314,2049,75,90,27699193.6804
315,2050,0,5,19231683.5343
316,2050,5,15,38295706.6698
317,2050,15,25,42028448.2446
318,2050,25,34,38210905.2663
319,2050,34,45,44047943.4381
320,2050,45,55,40102360.1171
321,2050,55,65,39430090.716
322,2050,65,75,33980007.482
323,2050,75,90,27581678.2774
324,2051,0,5,19252497.2183
325,2051,5,15,38175733.8481
326,2051,15,25,41680249.3805
327,2051,25,34,38216793.3229
328,2051,34,45,44241403.0383
329,2051,45,55,39846428.1286
330,2051,55,65,39345785.1074
331,2051,65,75,34162117.4124
332,2051,75,90,27476967.3748
333,2052,0,5,19263719.8352
334,2052,5,15,38118949.1987
335,2052,15,25,41275720.6542
336,2052,25,34,38207101.2242
337,2052,34,45,44467403.5085
338,2052,45,55,39599683.7534
339,2052,55,65,39227949.9366
340,2052,65,75,34341352.1097
341,2052,75,90,27391106.5032
342,2053,0,5,19264206.8053
343,2053,5,15,38109956.4604
344,2053,15,25,40831290.6369
345,2053,25,34,38189269.6958
346,2053,34,45,44710374.0901
347,2053,45,55,39368786.5148
348,2053,55,65,39080525.6995
349,2053,65,75,34508873.7052
350,2053,75,90,27328713.0637
351,2054,0,5,19253142.5834
352,2054,5,15,38132962.3409
353,2054,15,25,40366601.2557
354,2054,25,34,38164456.937
355,2054,34,45,44955999.5121
356,2054,45,55,39161839.4961
357,2054,55,65,38907712.5634
358,2054,65,75,34657015.5545
359,2054,75,90,27292804.4168
360,2055,0,5,19230024.0575
361,2055,5,15,38173604.6943
362,2055,15,25,39903287.0495
363,2055,25,34,38126794.8684
364,2055,34,45,45191686.0328
365,2055,45,55,38988152.4848
366,2055,55,65,38713796.8136
367,2055,65,75,34779568.7999
368,2055,75,90,27284730.2757
369,2056,0,5,19194645.1157
370,2056,5,15,38220073.3277
371,2056,15,25,39463225.0271
372,2056,25,34,38064785.0632
373,2056,34,45,45406721.3463
374,2056,45,55,38857397.6849
375,2056,55,65,38503036.1484
376,2056,65,75,34871934.96
377,2056,75,90,27304202.6076
378,2057,0,5,19147087.2775
379,2057,5,15,38263420.5905
380,2057,15,25,39066246.5191
381,2057,25,34,37964404.2209
382,2057,34,45,45592598.0114
383,2057,45,55,38778214.7883
384,2057,55,65,38279607.7927
385,2057,65,75,34931152.9621
386,2057,75,90,27349415.7226
387,2058,0,5,19087717.208
388,2058,5,15,38297222.297
389,2058,15,25,38727782.336
390,2058,25,34,37812862.3758
391,2058,34,45,45743594.2971
392,2058,45,55,38756577.7058
393,2058,55,65,38047628.3031
394,2058,65,75,34955817.7286
395,2058,75,90,27417244.7403
396,2059,0,5,19017188.1086
397,2059,5,15,38316960.8775
398,2059,15,25,38457091.4142
399,2059,25,34,37601838.1551
400,2059,34,45,45857276.1381
401,2059,45,55,38794394.5383
402,2059,55,65,37811255.7636
403,2059,65,75,34945915.0156
404,2059,75,90,27503504.8245
405,2060,0,5,18936439.2659
406,2060,5,15,38319457.2111
407,2060,15,25,38256576.3914
408,2060,25,34,37329436.7328
409,2060,34,45,45934401.8591
410,2060,45,55,38888775.471
411,2060,55,65,37574877.023
412,2060,65,75,34902601.7252
413,2060,75,90,27603249.4628
414,2061,0,5,18846687.106
415,2061,5,15,38302490.2328
416,2061,15,25,38122305.9474
417,2061,25,34,37000738.9417
418,2061,34,45,45977908.5453
419,2061,45,55,39032179.6309
420,2061,55,65,37343358.7091
421,2061,65,75,34827961.3349
422,2061,75,90,27711084.7118
423,2062,0,5,18749402.0988
424,2062,5,15,38264593.0138
425,2062,15,25,38045469.0463
426,2062,25,34,36627223.001
427,2062,34,45,45991125.4643
428,2062,45,55,39213357.6629
429,2062,55,65,37122301.1255
430,2062,65,75,34724760.7153
431,2062,75,90,27821477.3906
432,2063,0,5,18646268.3314
433,2063,5,15,38204959.3928
434,2063,15,25,38014281.7292
435,2063,25,34,36225402.0008
436,2063,34,45,45975818.0331
437,2063,45,55,39418788.4627
438,2063,55,65,36918191.1843
439,2063,65,75,34596228.8249
440,2063,75,90,27929038.1021
441,2064,0,5,18539125.8059
442,2064,5,15,38123402.3875
443,2064,15,25,38015879.0989
444,2064,25,34,35814904.6907
445,2064,34,45,45930839.4687
446,2064,45,55,39634251.2437
447,2064,55,65,36738328.8358
448,2064,65,75,34445871.5213
449,2064,75,90,28028764.2406
